Rank,Fighter,Current_Rating,Peak_Rating,RD,Volatility,Fights,Wins,Losses,Draws,Weight_Class,Last_Fight
525,Jonathan Pearce,1606.3,1738.6,111.6,0.06,9,5,4,0,Featherweight,"October 12, 2024"
526,Zak Cummings,1606.0,1720.5,113.6,0.06,14,10,4,0,Heavyweight,"April 15, 2023"
527,Ali Bagautinov,1605.7,1710.3,122.8,0.06,7,4,3,0,Flyweight,"November 19, 2016"
528,Daniel Kelly,1605.7,1725.3,106.1,0.06,10,6,4,0,Middleweight,"May 27, 2018"
529,SuYoung You,1604.9,1666.0,144.1,0.06,4,3,1,0,Bantamweight,"March 14, 2026"
530,Paul Sass,1604.6,1733.6,131.3,0.06,5,3,2,0,Lightweight,"February 16, 2013"
531,Modestas Bukauskas,1604.5,1640.4,101.6,0.06,12,7,5,0,Heavyweight,"January 24, 2026"
532,Aleksei Oleinik,1604.0,1753.2,90.5,0.06,17,9,7,1,Heavyweight,"October 01, 2022"
533,Dooho Choi,1603.3,1748.7,129.5,0.06,9,5,3,1,Featherweight,"December 07, 2024"
534,Carlston Harris,1602.9,1695.8,122.9,0.06,7,4,3,0,Welterweight,"January 11, 2025"
535,Cain Velasquez,1602.8,1955.8,121.0,0.06,15,12,2,1,Heavyweight,"February 17, 2019"
536,Frank Hamaker,1602.4,1602.4,180.1,0.06,1,1,0,0,Other,"March 11, 1994"
537,Jon Hess,1602.4,1602.4,180.1,0.06,1,1,0,0,Other,"April 07, 1995"
538,Scott Bessac,1602.4,1602.4,180.1,0.06,1,1,0,0,Other,"September 08, 1995"
539,Rafael Carino,1602.4,1602.4,180.1,0.06,1,1,0,0,Other,"May 17, 1996"
