Rank,Fighter,Current_Rating,Peak_Rating,RD,Volatility,Fights,Wins,Losses,Draws,Weight_Class,Last_Fight
555,Luis Pena,1601.1,1637.4,118.2,0.06,8,5,3,0,Lightweight,"April 17, 2021"
556,Nicolae Negumereanu,1600.9,1663.7,132.2,0.06,6,4,2,0,Heavyweight,"November 12, 2022"
557,Abdul Rakhman Yakhyaev,1600.8,1600.8,164.7,0.06,2,2,0,0,Heavyweight,"April 04, 2026"
558,Billy Quarantillo,1600.7,1703.3,105.5,0.06,11,6,5,0,Featherweight,"December 14, 2024"
559,Eryk Anders,1600.0,1683.2,84.1,0.06,20,10,8,2,Middleweight,"March 14, 2026"
560,Renan Barao,1599.7,1867.4,92.4,0.06,17,9,8,0,Featherweight,"November 16, 2019"
561,Ramazan Emeev,1599.7,1735.0,121.6,0.06,8,5,3,0,Welterweight,"June 11, 2022"
562,Charles Radtke,1599.4,1621.7,127.4,0.06,6,4,2,0,Welterweight,"November 01, 2025"
563,Brad Riddell,1598.9,1730.4,118.9,0.06,7,4,3,0,Lightweight,"November 12, 2022"
564,Bob Cook,1598.5,1598.5,180.1,0.06,1,1,0,0,Lightweight,"March 10, 2000"
565,Ketlen Vieira,1598.2,1720.5,101.3,0.06,14,9,5,0,Women's Bantamweight,"November 01, 2025"
566,Roman Kopylov,1597.7,1656.3,104.3,0.06,11,6,5,0,Middleweight,"November 15, 2025"
567,Jonny Parsons,1597.3,1597.3,176.3,0.06,1,1,0,0,Welterweight,"July 22, 2023"
568,Jaqueline Amorim,1596.8,1648.1,127.1,0.06,6,4,2,0,Women's Strawweight,"October 25, 2025"
569,Daria Zhelezniakova,1596.8,1599.3,150.5,0.06,3,2,1,0,Women's Bantamweight,"June 21, 2025"
570,Ilir Latifi,1596.7,1696.4,105.3,0.06,16,9,7,0,Heavyweight,"May 20, 2023"
571,Rodolfo Vieira,1596.2,1674.7,112.5,0.06,10,6,4,0,Middleweight,"November 15, 2025"
572,Charles Jourdain,1596.1,1596.1,90.8,0.06,16,8,7,1,Bantamweight,"October 18, 2025"
573,Karl Williams,1596.1,1658.0,142.3,0.06,4,3,1,0,Heavyweight,"August 10, 2024"
574,Timur Valiev,1595.9,1639.8,145.8,0.06,4,2,1,1,Bantamweight,"March 19, 2022"
575,Kajan Johnson,1595.5,1666.7,126.2,0.06,7,4,3,0,Lightweight,"September 15, 2018"
576,Rani Yahya,1594.9,1698.8,104.2,0.06,21,13,6,2,Bantamweight,"April 27, 2024"
577,Javier Reyes,1594.8,1594.8,176.6,0.06,1,1,0,0,Featherweight,"February 28, 2026"
578,Rich Attonito,1594.2,1674.4,137.4,0.06,5,3,1,1,Welterweight,"December 10, 2011"
579,Steve Jennum,1594.1,1692.5,153.9,0.06,3,2,1,0,Other,"December 16, 1995"
580,Ian Heinisch,1594.1,1711.1,117.9,0.06,7,3,4,0,Middleweight,"July 24, 2021"
581,Rashad Evans,1593.6,1878.7,91.0,0.06,23,14,8,1,Heavyweight,"June 09, 2018"
582,Michael McDonald,1593.4,1735.4,119.4,0.06,9,6,3,0,Bantamweight,"July 13, 2016"
583,Michelle Montague,1593.4,1593.4,176.5,0.06,1,1,0,0,Women's Bantamweight,"September 27, 2025"
584,Max Griffin,1593.0,1632.5,87.7,0.06,18,8,10,0,Welterweight,"July 12, 2025"
585,Magnus Cedenblad,1592.9,1681.8,136.9,0.06,6,4,1,1,Middleweight,"November 19, 2016"
586,Manoel Sousa,1592.8,1592.8,177.6,0.06,1,1,0,0,Lightweight,"March 14, 2026"
587,Andre Fili,1592.7,1632.4,77.8,0.06,26,13,12,1,Featherweight,"March 14, 2026"
588,Carlos Leal,1592.7,1592.7,142.4,0.06,4,2,2,0,Welterweight,"February 21, 2026"
589,Hakeem Dawodu,1592.0,1660.9,106.8,0.06,10,6,4,0,Featherweight,"August 12, 2023"
590,Ikuhisa Minowa,1591.8,1591.8,180.2,0.06,1,1,0,0,Middleweight,"April 14, 2000"
591,Tomasz Drwal,1591.8,1682.7,130.7,0.06,6,3,2,1,Middleweight,"September 15, 2010"
592,Jesse Taylor,1591.8,1591.8,185.6,0.06,2,1,1,0,Welterweight,"July 07, 2017"
593,Jennifer Maia,1591.8,1621.9,100.3,0.06,12,6,6,0,Women's Flyweight,"October 14, 2023"
594,Sergey Khandozhko,1591.7,1591.7,159.1,0.06,3,2,1,0,Welterweight,"April 23, 2022"
595,Brian Stann,1591.6,1668.2,104.5,0.06,11,6,5,0,Heavyweight,"March 02, 2013"
596,Mikey Burnett,1591.5,1602.4,152.9,0.06,3,2,1,0,Lightweight,"January 08, 1999"
597,Santiago Ponzinibbio,1591.4,1831.8,94.8,0.06,20,12,8,0,Welterweight,"May 03, 2025"
598,Soa Palelei,1591.2,1706.2,130.4,0.06,7,4,2,1,Heavyweight,"August 01, 2015"
599,Siyar Bahadurzada,1591.2,1672.8,123.2,0.06,8,4,4,0,Welterweight,"September 28, 2019"
600,Joe Lauzon,1590.9,1729.0,89.2,0.06,27,15,12,0,Lightweight,"October 18, 2019"
601,Ryan Jimmo,1590.9,1646.4,121.4,0.06,7,3,2,2,Heavyweight,"May 30, 2015"
602,Joe Solecki,1590.8,1720.9,112.2,0.06,9,5,4,0,Lightweight,"January 11, 2025"
603,Tom Murphy,1590.6,1590.6,180.1,0.06,1,1,0,0,Heavyweight,"March 04, 2006"
604,Ebenezer Fontes Braga,1590.5,1590.5,179.6,0.06,1,1,0,0,Middleweight,"October 16, 1998"
605,Mike Russow,1590.1,1746.8,130.5,0.06,6,4,2,0,Heavyweight,"January 26, 2013"
606,Kenichi Yamamoto,1589.5,1652.7,155.7,0.06,3,2,1,0,Welterweight,"December 16, 2000"
607,Mark Schultz,1589.4,1589.4,178.6,0.06,1,1,0,0,Other,"May 17, 1996"
608,Mansur Abdul-Malik,1589.1,1637.4,135.4,0.06,5,3,1,1,Middleweight,"March 28, 2026"
609,Kaue Fernandes,1589.0,1589.0,140.4,0.06,4,3,1,0,Lightweight,"September 06, 2025"
610,Patrick Cote,1588.8,1626.1,95.0,0.06,21,10,11,0,Welterweight,"April 08, 2017"
611,Drew Fickett,1588.7,1620.6,124.1,0.06,7,4,3,0,Welterweight,"April 05, 2007"
612,Bryan Caraway,1588.7,1757.6,118.0,0.06,10,6,3,1,Bantamweight,"November 30, 2018"
613,Marvin Vettori,1588.5,1762.1,96.4,0.06,18,9,8,1,Middleweight,"December 06, 2025"
614,Joanna Jedrzejczyk,1588.3,1850.9,107.3,0.06,15,10,5,0,Women's Strawweight,"June 11, 2022"
615,Davey Grant,1588.2,1621.0,102.2,0.06,15,8,7,0,Bantamweight,"October 18, 2025"
616,Rodrigo Nascimento,1588.2,1649.4,116.4,0.06,8,4,3,1,Heavyweight,"November 02, 2024"
617,Genki Sudo,1588.1,1598.5,154.2,0.06,3,2,1,0,Lightweight,"April 02, 2004"
618,Roan Carneiro,1588.1,1625.3,127.4,0.06,9,4,5,0,Welterweight,"February 11, 2017"
619,Marcio Cruz,1587.9,1707.3,140.9,0.06,4,2,2,0,Heavyweight,"December 30, 2006"
620,Kennedy Nzechukwu,1587.9,1634.6,94.9,0.06,15,8,5,2,Heavyweight,"December 13, 2025"
621,Mohammed Usman,1587.9,1664.2,130.4,0.06,6,4,2,0,Heavyweight,"June 21, 2025"
622,Jacob Volkmann,1587.7,1647.4,110.2,0.06,10,6,4,0,Lightweight,"February 02, 2013"
623,Islam Dulatov,1587.7,1587.7,177.8,0.06,1,1,0,0,Welterweight,"July 19, 2025"
624,Michael Johnson,1587.6,1718.5,78.4,0.06,32,16,16,0,Lightweight,"March 07, 2026"
625,Dennis Siver,1587.3,1683.3,97.9,0.06,21,12,8,1,Featherweight,"June 25, 2017"
626,Li Jingliang,1586.7,1713.3,100.7,0.06,18,11,7,0,Welterweight,"August 17, 2024"
627,Vladimir Matyushenko,1586.5,1678.6,116.8,0.06,12,7,5,0,Heavyweight,"January 26, 2013"
628,Karo Parisyan,1586.2,1780.6,110.9,0.06,13,8,3,2,Welterweight,"November 20, 2010"
629,Ismail Naurdiev,1586.2,1681.5,132.7,0.06,7,4,2,1,Middleweight,"November 22, 2025"
630,Erick Silva,1586.1,1670.3,95.1,0.06,15,7,7,1,Welterweight,"December 16, 2017"
631,Nordine Taleb,1586.0,1704.3,102.2,0.06,12,7,5,0,Welterweight,"September 07, 2019"
632,Yana Santos,1585.6,1585.6,131.5,0.06,6,3,3,0,Women's Bantamweight,"October 04, 2025"
633,Ben Nguyen,1585.5,1678.5,118.9,0.06,7,4,3,0,Flyweight,"December 01, 2018"
634,Andreas Gustafsson,1585.5,1633.3,165.3,0.06,2,1,1,0,Welterweight,"September 06, 2025"
635,Jacob Malkoun,1585.3,1585.3,126.4,0.06,8,5,3,0,Middleweight,"January 31, 2026"
636,Alex Caceres,1585.2,1612.1,75.9,0.06,30,16,12,2,Featherweight,"May 11, 2024"
637,Danny Castillo,1585.0,1684.9,95.4,0.06,14,7,7,0,Lightweight,"December 19, 2015"
638,Jimi Manuwa,1584.5,1726.4,103.4,0.06,12,6,6,0,Heavyweight,"June 01, 2019"
639,Carla Esparza,1584.3,1738.6,103.6,0.06,16,10,6,0,Women's Strawweight,"October 05, 2024"
640,Cathal Pendred,1584.1,1714.2,130.7,0.06,6,4,2,0,Welterweight,"October 24, 2015"
641,Brandon Vera,1583.7,1763.0,99.0,0.06,16,8,7,1,Heavyweight,"August 31, 2013"
642,Paul Craig,1583.4,1667.4,84.0,0.06,21,9,10,2,Heavyweight,"September 06, 2025"
643,Ben Askren,1583.1,1704.1,155.1,0.06,3,1,2,0,Welterweight,"October 26, 2019"
644,Caio Magalhaes,1582.8,1691.1,126.0,0.06,7,4,3,0,Middleweight,"September 10, 2016"
645,Chris Weidman,1582.5,2034.4,98.8,0.06,20,12,8,0,Other,"December 07, 2024"
646,Lyman Good,1582.5,1619.9,130.0,0.06,6,3,3,0,Welterweight,"June 20, 2020"
647,Jack Jenkins,1582.3,1634.3,127.6,0.06,6,4,2,0,Featherweight,"September 27, 2025"
648,Jhonata Diniz,1582.3,1652.7,133.2,0.06,5,3,2,0,Heavyweight,"October 11, 2025"
649,Tim Means,1581.7,1666.7,74.4,0.06,30,15,14,1,Welterweight,"October 05, 2024"
650,Joaquim Silva,1581.7,1707.9,116.3,0.06,12,7,4,1,Lightweight,"September 13, 2025"
651,Hecher Sosa,1581.7,1581.7,178.0,0.06,1,1,0,0,Bantamweight,"March 14, 2026"
652,Erin Blanchfield,1581.4,1581.4,119.1,0.06,9,0,1,8,Women's Flyweight,"November 15, 2025"
653,Johnny Rhodes,1581.3,1581.3,153.2,0.06,3,2,1,0,Other,"March 11, 1994"
654,Mirsad Bektic,1581.3,1724.1,112.6,0.06,10,6,4,0,Featherweight,"September 19, 2020"
655,Julio Arce,1581.1,1628.6,119.9,0.06,10,6,4,0,Featherweight,"March 30, 2024"
656,Regina Tarin,1580.9,1580.9,178.6,0.06,1,1,0,0,Other,"February 28, 2026"
657,Mike Pierce,1580.7,1769.2,111.1,0.06,14,9,5,0,Welterweight,"December 11, 2015"
658,Steve Bosse,1580.5,1580.5,149.5,0.06,3,2,1,0,Heavyweight,"June 18, 2016"
659,Nina Ansaroff,1580.4,1604.1,123.6,0.06,7,4,3,0,Women's Strawweight,"June 08, 2019"
660,Brendan Schaub,1580.3,1676.1,104.4,0.06,11,6,5,0,Heavyweight,"December 06, 2014"
661,Tatsuya Kawajiri,1580.1,1656.2,127.7,0.06,6,3,3,0,Featherweight,"August 06, 2016"
662,Chas Skelly,1580.1,1710.9,122.5,0.06,12,8,3,1,Featherweight,"February 19, 2022"
663,Tom Duquesnoy,1580.1,1606.6,153.4,0.06,3,2,1,0,Bantamweight,"March 17, 2018"
664,Eduarda Moura,1579.4,1630.7,133.3,0.06,5,3,2,0,Other,"February 07, 2026"
665,Abdul-Kerim Edilov,1579.3,1579.3,179.3,0.06,1,1,0,0,Heavyweight,"September 02, 2017"
666,Su Mudaerji,1579.3,1579.3,145.0,0.06,4,3,1,0,Flyweight,"January 20, 2021"
667,Yoshiki Takahashi,1578.8,1578.8,180.1,0.06,1,1,0,0,Lightweight,"February 07, 1997"
668,Mark Hughes,1578.8,1578.8,180.1,0.06,1,1,0,0,Middleweight,"November 17, 2000"
669,Ben Earwood,1578.8,1578.8,180.1,0.06,1,1,0,0,Welterweight,"November 17, 2000"
670,Logan Clark,1578.8,1578.8,180.1,0.06,1,1,0,0,Middleweight,"December 13, 2006"
671,Wang Guan,1578.8,1578.8,175.4,0.06,1,1,0,0,Featherweight,"November 25, 2017"
672,Montserrat Conejo,1578.8,1578.8,180.1,0.06,1,1,0,0,Women's Strawweight,"March 20, 2021"
673,DongHun Choi,1578.8,1578.8,180.1,0.06,1,1,0,0,Flyweight,"November 23, 2024"
674,Keiichiro Nakamura,1578.8,1578.8,180.1,0.06,1,1,0,0,Featherweight,"January 31, 2026"
675,Dom Mar Fan,1578.8,1578.8,180.1,0.06,1,1,0,0,Lightweight,"January 31, 2026"
676,Damian Pinas,1578.8,1578.8,180.1,0.06,1,1,0,0,Middleweight,"February 28, 2026"
677,Jordan Mein,1578.6,1679.9,115.0,0.06,9,5,4,0,Welterweight,"July 28, 2018"
678,Lucas Martins,1578.5,1634.2,120.9,0.06,7,4,3,0,Featherweight,"April 10, 2016"
679,Adam Wieczorek,1578.4,1651.3,150.1,0.06,3,2,1,0,Heavyweight,"November 03, 2018"
680,Montana De La Rosa,1578.2,1732.9,102.0,0.06,12,6,5,1,Women's Flyweight,"June 08, 2024"
681,Antonio Carlos Junior,1578.0,1716.0,109.2,0.06,13,7,5,1,Middleweight,"January 23, 2021"
682,John Castaneda,1577.4,1645.0,116.4,0.06,8,4,4,0,Featherweight,"April 26, 2025"
683,Jorge Rivera,1577.3,1603.3,97.3,0.06,15,8,7,0,Middleweight,"January 20, 2012"
684,Heili Alateng,1577.3,1630.6,150.5,0.06,3,2,1,0,Bantamweight,"October 03, 2020"
685,Gabriel Gonzaga,1577.2,1750.4,89.5,0.06,22,12,10,0,Heavyweight,"April 10, 2016"
686,Krzysztof Soszynski,1577.0,1701.6,114.7,0.06,9,6,3,0,Heavyweight,"December 10, 2011"
687,Cody Haddon,1576.9,1576.9,177.0,0.06,1,1,0,0,Bantamweight,"October 12, 2024"
688,Ty Miller,1576.9,1576.9,177.4,0.06,1,1,0,0,Welterweight,"January 24, 2026"
689,Brad Tavares,1576.8,1728.1,83.7,0.06,28,16,12,0,Middleweight,"March 14, 2026"
690,Brian Foster,1576.5,1576.5,132.4,0.06,5,3,2,0,Welterweight,"November 20, 2010"
691,Serhiy Sidey,1576.4,1576.4,152.2,0.06,3,2,1,0,Bantamweight,"May 03, 2025"
692,Julian Erosa,1576.3,1623.5,91.1,0.06,18,9,9,0,Featherweight,"March 28, 2026"
693,Tom Lawlor,1576.2,1675.0,115.6,0.06,11,6,4,1,Heavyweight,"March 05, 2016"
694,Themba Gorimbo,1576.2,1642.1,119.8,0.06,7,4,3,0,Welterweight,"November 01, 2025"
695,Matheus Nicolau,1575.5,1691.8,112.1,0.06,11,7,4,0,Flyweight,"October 19, 2024"
696,Matt Serra,1575.3,1635.1,109.0,0.06,14,7,7,0,Welterweight,"September 25, 2010"
697,Matt Brown,1574.9,1720.6,91.6,0.06,30,17,13,0,Welterweight,"May 13, 2023"
698,Tyson Griffin,1574.8,1710.0,99.0,0.06,14,8,6,0,Featherweight,"October 29, 2011"
699,Alberto Mina,1574.8,1719.0,148.5,0.06,4,3,1,0,Welterweight,"May 12, 2018"
700,Carlos Condit,1574.7,1807.8,99.9,0.06,19,9,10,0,Welterweight,"July 10, 2021"
701,Carli Judice,1574.4,1574.4,143.5,0.06,4,3,1,0,Women's Flyweight,"February 21, 2026"
702,Loma Lookboonmee,1574.3,1609.0,114.5,0.06,10,7,3,0,Women's Strawweight,"September 27, 2025"
703,Nikita Krylov,1574.1,1741.6,98.9,0.06,21,12,8,1,Heavyweight,"January 24, 2026"
704,Evan Tanner,1573.9,1756.9,103.4,0.06,17,11,6,0,Middleweight,"June 21, 2008"
705,Tommy McMillen,1573.9,1573.9,179.6,0.06,1,1,0,0,Featherweight,"April 04, 2026"
706,Ion Cutelaba,1573.7,1646.9,85.1,0.06,20,9,10,1,Heavyweight,"March 14, 2026"
707,Hyder Amil,1572.9,1708.3,135.9,0.06,5,3,2,0,Featherweight,"November 08, 2025"
708,Da'Mon Blackshear,1572.7,1605.3,107.1,0.06,10,5,4,1,Bantamweight,"July 26, 2025"
709,Josh Samman,1572.6,1751.4,137.0,0.06,5,3,2,0,Middleweight,"July 13, 2016"
710,Chad Laprise,1572.3,1688.1,112.4,0.06,10,6,3,1,Welterweight,"December 08, 2018"
711,Josh Thomson,1571.9,1662.1,140.5,0.06,7,3,4,0,Lightweight,"July 15, 2015"
712,Johnny Case,1571.8,1725.7,133.5,0.06,6,4,2,0,Lightweight,"June 25, 2017"
713,Clay Guida,1571.6,1709.7,81.2,0.06,37,18,18,1,Lightweight,"December 07, 2024"
714,Alex Perez,1571.6,1747.5,111.0,0.06,14,8,6,0,Flyweight,"January 24, 2026"
715,Sione Latu,1570.9,1570.9,180.1,0.06,1,1,0,0,Heavyweight,"March 05, 1999"
716,Christian Rodriguez,1570.8,1683.9,112.1,0.06,9,5,4,0,Featherweight,"August 09, 2025"
717,TJ Waldburger,1570.7,1666.3,116.9,0.06,8,4,4,0,Welterweight,"February 22, 2014"
718,Michel Prazeres,1570.7,1758.5,111.7,0.06,14,10,4,0,Welterweight,"June 26, 2021"
719,Remco Pardoel,1570.6,1594.8,140.5,0.06,5,3,2,0,Other,"September 08, 1995"
720,Jose Delano,1570.4,1570.4,179.4,0.06,1,1,0,0,Featherweight,"April 04, 2026"
721,Rodolfo Bellato,1570.3,1580.3,133.0,0.06,5,2,1,2,Heavyweight,"March 07, 2026"
722,Bryan Barberena,1569.9,1713.0,88.7,0.06,19,9,10,0,Middleweight,"March 16, 2024"
723,Kevin Lee,1569.7,1783.5,104.7,0.06,19,11,8,0,Welterweight,"July 01, 2023"
724,Nina Nunes,1569.7,1569.7,168.5,0.06,2,1,1,0,Women's Flyweight,"August 13, 2022"
725,Kazushi Sakuraba,1569.3,1602.4,167.6,0.06,2,1,0,1,Heavyweight,"December 21, 1997"
726,Joe Stevenson,1569.2,1706.6,93.0,0.06,16,8,7,1,Featherweight,"June 26, 2011"
727,Charles Johnson,1569.0,1575.1,96.5,0.06,14,8,6,0,Flyweight,"March 14, 2026"
728,Sultan Aliev,1568.6,1568.6,149.1,0.06,4,2,2,0,Welterweight,"April 20, 2019"
729,CB Dollaway,1568.2,1659.4,93.8,0.06,20,11,9,0,Middleweight,"September 15, 2018"
730,Patricio Freire,1567.9,1567.9,166.3,0.06,2,1,1,0,Featherweight,"July 19, 2025"
731,Alberto Montes,1567.8,1567.8,178.0,0.06,1,1,0,0,Featherweight,"March 07, 2026"
732,Dione Barbosa,1567.7,1578.8,132.6,0.06,5,3,2,0,Women's Flyweight,"April 04, 2026"
733,Leonardo Santos,1567.6,1784.1,112.9,0.06,11,7,3,1,Lightweight,"August 20, 2022"
734,Juan Espino,1567.3,1619.1,157.3,0.06,3,2,1,0,Heavyweight,"April 17, 2021"
735,Andrei Arlovski,1567.2,1806.1,73.0,0.06,42,23,17,2,Heavyweight,"June 29, 2024"
736,Holly Holm,1567.2,1778.9,101.9,0.06,16,8,7,1,Women's Bantamweight,"April 13, 2024"
737,Kyle Nelson,1567.2,1581.7,109.9,0.06,12,5,5,2,Lightweight,"March 28, 2026"
738,Jamall Emmers,1567.2,1567.2,116.2,0.06,9,5,4,0,Featherweight,"November 08, 2025"
739,Tim Kennedy,1567.0,1757.0,141.3,0.06,5,3,2,0,Middleweight,"December 10, 2016"
740,Tai Tuivasa,1566.9,1728.2,99.5,0.06,17,8,9,0,Heavyweight,"January 31, 2026"
741,Makwan Amirkhani,1566.7,1711.2,100.1,0.06,14,7,7,0,Featherweight,"March 18, 2023"
742,Malcolm Wellmaker,1566.5,1643.1,153.7,0.06,3,2,1,0,Featherweight,"November 15, 2025"
743,George Sotiropoulos,1566.4,1854.0,114.7,0.06,11,7,4,0,Lightweight,"October 19, 2013"
744,Keith Hackney,1566.3,1621.4,144.7,0.06,4,2,2,0,Other,"December 16, 1995"
745,Marwan Rahiki,1566.3,1566.3,179.6,0.06,1,1,0,0,Featherweight,"March 14, 2026"
746,Nate Marquardt,1565.8,1828.4,83.2,0.06,25,13,12,0,Middleweight,"November 11, 2017"
747,Jafel Filho,1565.8,1582.4,137.2,0.06,5,3,2,0,Flyweight,"October 11, 2025"
748,Klaudia Sygula,1565.1,1565.1,149.7,0.06,3,2,1,0,Women's Bantamweight,"February 07, 2026"
749,Jake Ellenberger,1565.0,1765.9,89.9,0.06,21,10,11,0,Welterweight,"August 25, 2018"
750,Luke Barnatt,1564.7,1730.3,130.9,0.06,6,3,3,0,Middleweight,"May 16, 2015"
751,Mirko Filipovic,1564.5,1604.2,123.0,0.06,11,5,6,0,Heavyweight,"April 11, 2015"
752,Mauricio Rua,1564.4,1776.3,94.9,0.06,24,11,10,3,Heavyweight,"January 21, 2023"
753,Magomed Mustafaev,1564.2,1686.9,139.3,0.06,5,3,2,0,Lightweight,"February 22, 2020"
754,Sara McMann,1564.1,1605.5,112.7,0.06,13,7,6,0,Women's Bantamweight,"March 26, 2022"
755,Joanne Calderwood,1562.8,1613.6,104.8,0.06,12,7,5,0,Women's Flyweight,"January 23, 2021"
756,Tyrone Roberts,1562.4,1562.4,180.0,0.06,1,1,0,0,Middleweight,"June 09, 2000"
757,Oban Elliott,1562.4,1680.0,135.4,0.06,5,3,2,0,Welterweight,"January 31, 2026"
758,Imanol Rodriguez,1562.4,1562.4,178.6,0.06,1,1,0,0,Flyweight,"February 28, 2026"
759,Laverne Clark,1562.3,1682.7,149.0,0.06,4,3,1,0,Welterweight,"September 22, 2000"
760,Jutaro Nakao,1562.3,1641.9,165.6,0.06,2,1,1,0,Welterweight,"March 22, 2002"
761,Amaury Bitetti,1561.8,1561.8,177.5,0.06,2,1,1,0,Middleweight,"June 09, 2000"
762,Oumar Sy,1561.6,1637.8,131.1,0.06,5,3,2,0,Heavyweight,"March 14, 2026"
763,Evan Dunham,1561.3,1764.2,98.5,0.06,21,11,8,2,Other,"June 06, 2020"
764,Shanelle Dyer,1561.1,1561.1,179.7,0.06,1,1,0,0,Women's Strawweight,"March 21, 2026"
765,Trey Waters,1560.9,1658.8,157.2,0.06,3,2,1,0,Welterweight,"September 06, 2025"
766,Steven Siler,1560.8,1714.3,115.0,0.06,9,5,4,0,Featherweight,"July 26, 2014"
767,Cody Stamann,1560.7,1733.5,98.6,0.06,15,7,7,1,Bantamweight,"November 09, 2024"
768,Manny Bermudez,1560.7,1709.5,135.3,0.06,5,3,2,0,Featherweight,"October 18, 2019"
769,Alex Garcia,1560.6,1636.8,106.2,0.06,10,5,5,0,Welterweight,"October 27, 2018"
770,Phil Rowe,1560.3,1704.9,117.7,0.06,8,4,4,0,Welterweight,"February 21, 2026"
771,Tom Breese,1560.1,1738.6,124.7,0.06,8,5,3,0,Middleweight,"January 20, 2021"
772,Kai Kamaka III,1560.1,1560.1,168.1,0.06,3,1,1,1,Lightweight,"April 04, 2026"
773,Takeya Mizugaki,1559.9,1678.4,98.0,0.06,14,8,6,0,Bantamweight,"December 17, 2016"
774,Hamdy Abdelwahab,1559.8,1582.6,143.5,0.06,4,2,1,1,Heavyweight,"October 25, 2025"
775,Jarjis Danho,1559.6,1559.6,164.9,0.06,3,1,0,2,Heavyweight,"April 10, 2021"
776,Aleksandar Rakic,1559.6,1790.6,114.5,0.06,11,6,5,0,Heavyweight,"October 25, 2025"
777,Rafael Natal,1559.3,1640.3,90.2,0.06,17,9,7,1,Middleweight,"July 22, 2017"
778,Alejandro Perez,1559.1,1710.8,108.8,0.06,13,8,4,1,Featherweight,"February 26, 2022"
779,Jason Saggo,1558.9,1648.2,128.2,0.06,6,3,3,0,Lightweight,"September 16, 2017"
780,Elias Silverio,1558.8,1693.2,136.2,0.06,5,3,2,0,Lightweight,"August 23, 2015"
781,Aliaskhab Khizriev,1558.2,1578.8,167.9,0.06,2,1,0,1,Middleweight,"February 03, 2024"
782,Niko Price,1557.9,1719.7,86.4,0.06,21,8,11,2,Welterweight,"March 28, 2026"
783,Sergey Morozov,1557.4,1557.4,133.7,0.06,5,3,2,0,Bantamweight,"December 17, 2022"
784,Yanal Ashmouz,1557.4,1615.1,145.1,0.06,4,2,1,1,Lightweight,"June 07, 2025"
785,Tofiq Musayev,1557.1,1557.1,166.2,0.06,2,1,1,0,Lightweight,"March 28, 2026"
786,Din Thomas,1556.9,1656.4,119.8,0.06,9,5,4,0,Lightweight,"April 02, 2008"
787,Morgan Charriere,1556.7,1589.7,125.5,0.06,6,3,3,0,Featherweight,"December 13, 2025"
788,Thiago Alves,1556.5,1837.1,89.7,0.06,27,15,10,2,Welterweight,"December 07, 2019"
789,Taiyilake Nueraji,1556.5,1556.5,180.4,0.06,1,1,0,0,Welterweight,"August 23, 2025"
790,Ronny Markes,1556.4,1721.4,135.6,0.06,5,3,2,0,Middleweight,"March 23, 2014"
791,Mike Kyle,1556.3,1580.7,153.7,0.06,3,2,1,0,Heavyweight,"February 05, 2005"
792,Macy Chiasson,1556.0,1691.8,101.7,0.06,14,8,6,0,Women's Bantamweight,"February 28, 2026"
793,Anderson Silva,1555.9,2112.7,111.7,0.06,25,17,7,1,Middleweight,"October 31, 2020"
794,Robert Peralta,1555.4,1643.9,116.2,0.06,8,4,3,1,Featherweight,"April 04, 2015"
795,Paddy Holohan,1554.6,1613.3,134.6,0.06,5,3,2,0,Flyweight,"October 24, 2015"
796,Ross Pearson,1554.5,1687.1,77.7,0.06,26,12,11,3,Lightweight,"March 30, 2019"
797,Dongi Yang,1553.8,1553.8,146.2,0.06,5,2,3,0,Middleweight,"November 28, 2015"
798,Gary Goodridge,1553.5,1580.9,129.6,0.06,8,4,4,0,Heavyweight,"March 05, 1999"
799,Mantas Kondratavicius,1553.4,1553.4,180.6,0.06,1,1,0,0,Middleweight,"March 21, 2026"
800,Rich Clementi,1552.9,1632.3,110.3,0.06,10,5,5,0,Lightweight,"February 07, 2009"
801,Yadier del Valle,1552.9,1622.3,150.9,0.06,3,2,1,0,Featherweight,"February 21, 2026"
802,Keith Jardine,1552.5,1695.9,101.7,0.06,13,6,7,0,Heavyweight,"June 19, 2010"
803,Yushin Okami,1552.4,1839.5,105.6,0.06,21,14,5,2,Welterweight,"December 01, 2018"
804,Aisling Daly,1552.4,1602.4,154.6,0.06,3,2,1,0,Women's Strawweight,"October 24, 2015"
805,Cesar Almeida,1552.4,1605.7,132.4,0.06,5,3,2,0,Middleweight,"December 13, 2025"
806,Michael Chandler,1552.2,1709.3,134.0,0.06,7,2,5,0,Lightweight,"April 12, 2025"
807,Timothy Johnson,1551.9,1602.4,123.3,0.06,7,4,3,0,Heavyweight,"February 03, 2018"
808,Leslie Smith,1551.5,1551.5,126.0,0.06,7,4,3,0,Women's Bantamweight,"July 16, 2017"
809,Gerald Meerschaert,1551.2,1700.4,78.5,0.06,25,12,13,0,Middleweight,"November 15, 2025"
810,Rony Jason,1551.1,1726.9,117.1,0.06,9,4,4,1,Featherweight,"March 11, 2017"
811,Matt Frevola,1551.1,1644.3,108.5,0.06,12,5,5,2,Lightweight,"October 18, 2025"
812,Tim Elliott,1551.0,1553.5,106.7,0.06,21,10,11,0,Flyweight,"August 16, 2025"
813,Cynthia Calvillo,1550.9,1728.2,98.9,0.06,13,6,6,1,Women's Strawweight,"April 08, 2023"
814,Zubaira Tukhugov,1550.4,1676.4,129.8,0.06,9,5,3,1,Lightweight,"February 11, 2023"
